"Entrez Gene ID","gene","Ctrl","Ctrl.1","MandIL4","MandIL4.1","MandIL4.2","MandLPSandIFNg","MandLPSandIFNg.1","MandLPSandIFNg.2"
"66354","Snw1",11.0481,10.6192,10.2556,10.4436,10.6781,11.5943,11.2058,11.589
"66355","Gmpr",3.354,5.0474,5.2946,6.1081,5.5051,0,0,4.0202
"66357","Ostc",9.6384,9.2297,9.6252,9.045,9.2707,8.5508,8.6016,8.1128
"66358","2310004I24Rik",3.5745,4.4769,3.2769,0,3.8971,6.2236,5.623,5.3623
"66359","Fam36a",7.6215,7.3643,7.9107,8.3623,7.7595,6.4514,6.9095,7.9282
"66361","Zfand1",5.6735,4.3758,3.2769,4.3869,4.1908,4.781,5.3551,1.5416
"66362","Exosc3",7.1022,6.9252,8.1891,8.4374,7.6217,6.8328,7.1846,6.9309
"52717","Anapc16",5.1117,6.8164,6.7527,4.6966,7.2835,7.1939,5.9057,7.3435
"66365","Ccdc90b",7.8356,7.5868,6.7926,8.131,7.4796,7.5339,6.8667,6.6334
"66366","Ergic3",6.2299,6.2173,5.4673,6.868,6.4489,6.6165,6.3734,7.3373
"66368","Rtcd1",5.7441,2.4452,5.8936,5.263,4.4228,5.8545,4.9008,5.5748
"66369","Dus2l",4.4672,3.1552,0,5.3075,3.2755,2.5533,2.9263,2.9158
"66371","Chmp4c",0,0,0,0,0,0,0,0
"66373","Lsm5",9.5661,9.6586,9.4478,11.1244,9.8291,8.6041,9.4653,8.8145
"66374","2310011J03Rik",7.072,7.7281,6.5731,7.3513,7.8225,7.8653,7.8351,7.4268
"66375","Dhrs7",7.3712,6.5218,5.6122,7.4277,6.8486,5.1449,5.8401,5.9857
"66377","Ndufc1",7.9179,7.7281,8.1891,7.9195,8.683,7.615,8.371,7.7077
"66380","Krtap3-3",0,0.06891,0,0,0,0,0,0
"66381","Rnf113a2",5.6281,0.6166,2.0525,6.1866,4.3618,5.4593,5.7786,4.5053
"66383","Iscu",7.1067,6.1873,6.2657,6.7841,7.763,7.1095,7.1019,6.1889
"66384","Srp19",8.8026,8.8902,9.349,9.959,9.5951,9.5767,9.7209,9.0985
"66387","Nudt8",3.5745,2.3125,4.5618,4.7764,4.1908,0,0,0
"66388","Cutc",5.6281,4.1706,6.3069,6.1354,4.4961,3.6405,6.9095,4.2964
"66390","Slmo2",6.5015,6.3903,7.1269,8.0142,7.7675,7.2076,6.4893,7.5414
"66392","Prl2b1",0,0,0,0,0,0,0,0
"66394","Nosip",5.991,5.8056,5.0276,6.3874,5.8704,6.3461,6.4198,6.4114
"66396","Ccdc82",0,0,0,0,0,0,0,0
"66397","Sar1b",7.295,7.014,7.4057,5.4817,7.5367,6.4747,6.3259,6.7537
"66398","Commd5",7.2418,7.5417,6.8811,7.6042,6.7783,6.6891,7.2764,6.689
"66399","Tsfm",6.6901,6.9866,7.7865,8.1807,7.6981,6.0106,6.6867,6.6018
