"Entrez Gene ID","gene","X0h_1","X0h_2","X0h_3","X0h_4","X4h_1","X4h_2","X4h_3","X4h_4","X8h_1","X8h_2","X8h_3","X8h_4","X16h_1","X16h_2","X16h_3","X16h_4","X24h_1","X24h_2","X24h_3","X24h_4"
"68050","Akirin1",19.38789858,18.03377118,18.05096168,18.9762219,32.89125493,38.97944127,38.60176637,37.25828567,38.44171903,38.15422796,40.0159926,40.72059245,27.26694939,28.63389558,27.36201403,27.02018021,27.62695509,27.33422238,25.3460928,27.56081058
"57080","Gtf2ird1",1.239661334,1.317451423,1.265997361,1.321063841,0.366577561,0.291698435,0.264273364,0.26770197,0.566841861,0.645871227,0.59026746,0.586731553,0.745400979,0.696857336,0.735066496,0.689353079,0.805735784,0.899986692,1.011664705,0.842202499
"12457","Noct",0.120248386,0.110637254,0.130160698,0.10395886,4.232204402,4.509532529,4.403453173,4.408955559,0.962700868,1.001102338,0.941411489,0.902449937,0.403926563,0.309155391,0.279601852,0.453731524,0.286407818,0.260166434,0.29594959,0.296849623
"17250","Abcc1",13.24702531,13.21024168,12.00182218,13.1809383,20.9568151,15.74322622,17.54941733,17.83928049,17.46774165,20.1015376,15.99086868,16.72114552,21.85136772,18.20773416,18.40726416,24.76123772,19.25643458,17.98278087,22.30750878,14.41142663
"68202","Ndufa5",19.54247919,16.69150594,15.75570963,16.54801594,24.5858473,25.42648036,25.95922162,27.3524377,21.81291256,19.75713505,22.40331124,21.97519788,19.27673953,22.4826917,22.21145327,18.18637827,20.21440634,21.3688468,17.85436458,32.89880424
"76467","Msrb2",11.73558676,11.97101893,11.45676613,11.3437183,4.026135477,5.561450513,4.592447409,4.99376129,2.931330328,2.461632144,3.073850998,3.187318974,6.790571751,6.29034033,5.896449431,5.208164866,4.145317848,5.634555958,3.685458366,5.410525444
"19718","Rfc2",8.534436569,8.968318311,8.087176265,8.137850929,4.59626989,5.125072409,4.53557947,4.781603452,4.702238532,4.04562016,4.418928534,4.385367708,5.561701016,6.229598024,6.461465873,5.139717257,7.883426802,7.125562681,6.854944465,9.313157028
"68184","Denr",4.928817646,4.386601148,4.709903383,4.673885752,38.8074166,42.66637788,42.48776112,41.55902682,28.51867656,28.66271604,33.12516467,32.2385431,7.3197961,7.47343095,7.211052166,7.282519916,5.074222452,5.267905786,5.029906804,7.430274779
"27374","Prmt5",7.647608449,7.291389411,6.662090843,6.697205879,9.363858832,9.747782168,9.705196006,9.795366879,10.32655437,11.33768947,10.31534579,10.99103471,9.915990484,9.816393147,9.255816751,8.715679462,6.456902814,7.258951925,6.470087394,5.496598665
"68188","Sympk",11.14441131,11.38668175,11.59816065,11.21909646,9.011957202,6.97910828,7.48071633,7.818624165,9.475052093,9.797332687,8.285241908,8.297440467,11.35252441,9.029573976,9.532269503,11.81109071,10.82968697,9.441639656,11.72385262,10.43937476
"27426","Nagpa",26.52686227,27.43655759,26.76222986,27.39494185,24.52215782,23.01948307,23.14117867,23.58180485,25.45181983,22.86757825,24.8568597,24.65411031,24.82164828,23.68752675,22.72855553,24.30712876,23.69207134,22.5646949,22.38150516,26.00274886
"71446","Wrb",2.955809545,2.724565204,2.639891178,2.532479116,0.968904509,1.027853472,1.045010904,0.969845322,2.666349127,3.052467713,2.914931904,3.083814645,3.767411162,3.711194308,3.83130684,3.046639345,3.106495018,3.076559461,2.374682547,2.68659872
"117198","Ivns1abp",12.3884061,11.71801956,12.40803834,12.38908809,5.432325294,5.696702595,5.794585035,5.416483135,1.825527775,2.010403258,2.001858732,2.221327541,7.632308658,7.57814663,7.386122649,7.893421357,5.727256497,7.212047592,6.619497386,5.467548322
"67053","Rpp14",5.318396128,5.295962398,4.572981626,5.041076625,4.564025065,5.641028064,5.354706959,5.107965827,4.473270543,4.84494895,4.91296509,5.389433835,6.889810231,8.145644442,6.938737277,5.533905267,5.222266554,6.338255295,4.780103143,5.625065914
"105727","Slc38a1",7.229964154,7.274143574,7.512733224,7.375887664,10.26484922,9.144687178,9.069849219,9.510945046,8.241666321,8.864269985,7.89230075,7.492854322,7.024224396,6.043405201,6.365534368,7.638989428,6.546529968,5.057678926,6.315972139,5.491545135
"56310","Gps2",17.650792,15.76392426,17.12980483,18.52312181,14.86231345,13.21045367,13.89330576,14.3016703,14.13103088,12.94371148,14.18049863,14.81232137,9.429022952,7.835626374,8.252637789,9.169046191,8.721722277,6.630786879,8.031407712,9.53354896
"12215","Bsg",179.6909264,184.3431912,179.8580388,172.8634027,204.1166819,212.8142575,204.3781289,210.3648483,270.6760402,265.4424117,274.5164506,302.7219116,349.5229376,400.1687725,381.9752929,359.4382028,403.5616021,408.9575853,380.0454294,532.5268462
"67776","Vwa5a",54.89205237,55.97308816,56.75265446,53.05343676,65.7083502,78.01789658,75.64932487,72.47656092,42.25387283,40.76503532,42.63300774,39.91179118,36.25464872,41.17270528,40.00807412,38.8927635,44.12786517,48.05454126,44.61384066,31.96065174
"14789","P3h3",2.72449019,3.059208728,3.217960032,3.380121871,1.164564755,1.117644196,1.183559833,1.181557337,0.736196891,0.708957745,0.886335376,0.777331921,1.082657672,1.063900148,1.269276102,1.221541458,1.967938939,2.153119742,2.125706597,1.94768732
"16169","Il15ra",0.508387143,0.585126387,0.616788967,0.590522476,11.98674413,14.79049593,12.7706517,12.84544681,2.599842936,2.223690981,2.515836977,2.400402658,2.529429395,3.194636258,3.487318868,3.207630048,2.373780956,1.786108155,1.833340504,2.222828454
"20300","Ccl25",0.361501052,0.3281986,0.283111326,0.305735944,0.267760475,0.287335076,0.292025913,0.284996637,0.290041002,0.237994846,0.294516274,0.281318647,0.645681111,0.675598936,0.693218066,0.477700153,0.50194215,0.584021912,0.490787219,0.792800739
"235587","Parp3",11.04622085,11.14748459,10.75971153,11.2196766,21.16150313,23.11573275,23.28725721,22.49409661,22.30906819,19.96931697,21.29111703,21.75767896,28.74654306,28.29561512,27.82023641,27.34001903,16.5268509,17.93111244,16.69990653,12.30555062
"171429","Slc26a6",1.914196486,1.988250522,1.723087921,1.771678565,0.985338308,0.837475548,1.052789938,0.932071843,1.108521356,1.214914163,1.215675657,1.205576838,1.482201793,1.460073736,1.394781954,1.600870794,1.472316477,1.32322145,1.497724426,1.603215547
"109652","Acy1",1.43378491,1.364829671,1.446663831,1.380565981,2.485612004,2.146661074,2.103904108,2.303430106,1.451313921,1.489156919,1.656338237,1.59669063,1.36683278,1.514886052,1.04840243,1.48796992,0.779958112,1.066553153,0.768641445,1.078166854
"76737","Creld2",22.35381435,21.15785872,18.2832018,18.8685944,36.62380907,36.95332555,35.38084993,35.76186312,49.90402328,51.18915973,51.5224183,53.64457784,92.23817417,93.65308533,92.33727437,82.67916418,43.7449798,36.85914662,39.14054055,68.27615044
"12504","Cd4",0.369872237,0.545711894,0.528093159,0.770634734,0.076063673,0.091042488,0.09851125,0.096431426,0.056005687,0.114639728,0.061953935,0.072788996,0.080935086,0.046432209,0.061590537,0.034933184,0.139193532,0.058116488,0.069709837,0.059061815
